UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Difference temperature [K],Power
2570,H,299.5,309.2,1872,22.6,162,0,No Failure,9.699999999999989,42307.200000000004
2571,L,299.6,309.2,1713,26.5,167,0,No Failure,9.599999999999966,45394.5
2572,M,299.5,309.2,1497,40.9,169,0,No Failure,9.699999999999989,61227.299999999996
2573,M,299.4,309.1,1352,44.7,172,0,No Failure,9.700000000000045,60434.4
2574,L,299.5,309.2,1499,41.5,175,0,No Failure,9.699999999999989,62208.5
2575,L,299.5,309.3,1972,19.3,177,0,No Failure,9.800000000000011,38059.6
2576,L,299.5,309.3,1422,49.2,179,0,No Failure,9.800000000000011,69962.40000000001
2577,L,299.5,309.3,1523,41.5,181,0,No Failure,9.800000000000011,63204.5
2578,L,299.5,309.4,1563,41.5,183,0,No Failure,9.899999999999977,64864.5
2579,L,299.4,309.3,1391,46.6,185,0,No Failure,9.900000000000034,64820.6
2580,L,299.3,309.1,1795,24.7,187,0,No Failure,9.800000000000011,44336.5
2581,L,299.3,309.1,1293,53.7,189,0,No Failure,9.800000000000011,69434.1
2582,L,299.2,309.1,1345,60.7,191,1,Overstrain Failure,9.900000000000034,81641.5
2583,L,299.2,309.0,1615,33.7,193,0,No Failure,9.800000000000011,54425.50000000001
2584,L,299.2,308.9,1342,50.8,195,0,No Failure,9.699999999999989,68173.59999999999
2585,L,299.1,308.8,1502,46.7,197,0,No Failure,9.699999999999989,70143.40000000001
2586,M,299.0,308.7,1620,35.4,199,0,No Failure,9.699999999999989,57348.0
2587,L,299.0,308.7,1537,42.8,202,0,No Failure,9.699999999999989,65783.59999999999
2588,L,299.0,308.7,2248,16.8,204,0,No Failure,9.699999999999989,37766.4
2589,L,299.0,308.7,1706,28.6,206,0,No Failure,9.699999999999989,48791.600000000006
2590,L,299.0,308.7,2250,16.6,208,0,No Failure,9.699999999999989,37350.0
2591,L,299.0,308.7,1396,48.6,0,0,No Failure,9.699999999999989,67845.6
2592,L,298.9,308.6,1522,46.4,2,0,No Failure,9.700000000000045,70620.8
2593,L,298.9,308.6,1539,45.4,4,0,No Failure,9.700000000000045,69870.59999999999
2594,H,298.9,308.5,1415,54.0,6,0,No Failure,9.600000000000023,76410.0
2595,L,298.8,308.5,1446,37.0,11,0,No Failure,9.699999999999989,53502.0
2596,M,298.8,308.6,1486,41.1,13,0,No Failure,9.800000000000011,61074.6
2597,L,299.0,308.7,1426,38.6,16,0,No Failure,9.699999999999989,55043.6
2598,L,299.0,308.7,1449,38.9,18,0,No Failure,9.699999999999989,56366.1
2599,L,299.1,308.8,1320,67.5,20,1,Power Failure,9.699999999999989,89100.0
2600,M,299.2,308.9,1447,39.6,22,0,No Failure,9.699999999999989,57301.200000000004
2601,L,299.3,309.0,1422,47.3,25,0,No Failure,9.699999999999989,67260.59999999999
2602,L,299.3,309.1,1399,52.1,27,0,No Failure,9.800000000000011,72887.90000000001
2603,L,299.4,309.2,1427,41.5,29,0,No Failure,9.800000000000011,59220.5
2604,M,299.3,309.2,1334,46.3,31,0,No Failure,9.899999999999977,61764.2
2605,M,299.3,309.1,1385,45.6,34,0,No Failure,9.800000000000011,63156.0
2606,L,299.4,309.2,1552,37.4,37,0,No Failure,9.800000000000011,58044.799999999996
2607,H,299.4,309.3,1534,37.5,39,0,No Failure,9.900000000000034,57525.0
2608,L,299.4,309.3,1448,48.6,44,0,No Failure,9.900000000000034,70372.8
2609,L,299.5,309.3,1409,44.7,46,0,No Failure,9.800000000000011,62982.3
2610,L,299.4,309.2,1621,34.5,48,0,No Failure,9.800000000000011,55924.5
2611,H,299.4,309.1,1547,40.9,50,0,No Failure,9.700000000000045,63272.299999999996
2612,L,299.4,309.1,1957,22.1,55,0,No Failure,9.700000000000045,43249.700000000004
2613,L,299.4,309.1,2421,14.2,57,0,No Failure,9.700000000000045,34378.2
2614,M,299.3,309.1,1571,38.3,59,0,No Failure,9.800000000000011,60169.299999999996
2615,L,299.3,309.1,1634,36.8,62,0,No Failure,9.800000000000011,60131.2
2616,L,299.3,309.0,1516,38.7,64,0,No Failure,9.699999999999989,58669.200000000004
2617,L,299.4,309.1,1207,66.5,66,0,No Failure,9.700000000000045,80265.5
2618,L,299.4,309.1,1670,35.9,68,0,No Failure,9.700000000000045,59953.0
2619,M,299.4,309.1,1461,48.6,70,0,No Failure,9.700000000000045,71004.6
2620,L,299.4,309.2,1569,40.8,73,0,No Failure,9.800000000000011,64015.2
2621,L,299.4,309.2,1556,35.7,75,0,No Failure,9.800000000000011,55549.200000000004
2622,M,299.5,309.3,1506,41.5,77,0,No Failure,9.800000000000011,62499.0
2623,M,299.6,309.4,1642,30.3,80,0,No Failure,9.799999999999955,49752.6
2624,M,299.6,309.4,1283,62.1,83,0,No Failure,9.799999999999955,79674.3
2625,H,299.7,309.5,1375,46.8,86,0,No Failure,9.800000000000011,64349.99999999999
2626,L,299.7,309.4,1399,39.9,91,0,No Failure,9.699999999999989,55820.1
2627,L,299.7,309.4,1650,29.8,93,0,No Failure,9.699999999999989,49170.0
2628,M,299.8,309.6,1346,53.2,95,0,No Failure,9.800000000000011,71607.2
2629,H,299.9,309.6,1410,51.2,98,0,No Failure,9.700000000000045,72192.0
2630,L,300.0,309.7,1586,37.8,103,0,No Failure,9.699999999999989,59950.799999999996
2631,L,300.0,309.8,1372,39.6,105,0,No Failure,9.800000000000011,54331.200000000004
2632,H,300.0,309.7,1529,42.4,107,0,No Failure,9.699999999999989,64829.6
2633,M,300.0,309.7,1652,28.6,112,0,No Failure,9.699999999999989,47247.200000000004
2634,L,300.1,309.8,1532,39.8,115,0,No Failure,9.699999999999989,60973.6
2635,L,300.0,309.7,1554,32.0,117,0,No Failure,9.699999999999989,49728.0
2636,H,299.9,309.6,1462,51.0,119,0,No Failure,9.700000000000045,74562.0
2637,L,299.9,309.6,1254,61.3,124,0,No Failure,9.700000000000045,76870.2
2638,L,299.9,309.6,1294,49.7,126,0,No Failure,9.700000000000045,64311.8
2639,L,299.8,309.5,1739,27.5,128,0,No Failure,9.699999999999989,47822.5
2640,M,299.8,309.4,1412,47.8,130,0,No Failure,9.599999999999966,67493.59999999999
2641,M,299.9,309.5,1372,56.2,133,0,No Failure,9.600000000000023,77106.40000000001
2642,H,299.8,309.5,1420,46.7,136,0,No Failure,9.699999999999989,66314.0
2643,L,299.8,309.5,1542,40.3,141,0,No Failure,9.699999999999989,62142.6
2644,M,299.8,309.4,1401,48.1,143,0,No Failure,9.599999999999966,67388.1
2645,L,299.8,309.4,1510,42.5,146,0,No Failure,9.599999999999966,64175.0
2646,H,299.9,309.5,1547,38.5,148,0,No Failure,9.600000000000023,59559.5
2647,M,299.8,309.5,1453,43.2,153,0,No Failure,9.699999999999989,62769.600000000006
2648,L,299.8,309.4,1408,45.6,156,0,No Failure,9.599999999999966,64204.8
2649,L,299.8,309.4,1436,51.6,158,0,No Failure,9.599999999999966,74097.6
2650,M,299.9,309.5,1582,38.2,160,0,No Failure,9.600000000000023,60432.4
2651,L,299.9,309.6,1280,59.3,163,0,No Failure,9.700000000000045,75904.0
2652,L,299.9,309.5,2008,20.4,165,0,No Failure,9.600000000000023,40963.2
2653,L,299.9,309.5,1772,23.5,167,0,No Failure,9.600000000000023,41642.0
2654,L,299.9,309.5,1779,26.1,169,0,No Failure,9.600000000000023,46431.9
2655,L,299.9,309.5,1567,35.5,171,0,No Failure,9.600000000000023,55628.5
2656,M,299.8,309.4,1751,27.0,173,0,No Failure,9.599999999999966,47277.0
2657,L,299.9,309.5,1349,51.3,176,0,No Failure,9.600000000000023,69203.7
2658,M,300.0,309.5,1425,40.8,178,0,No Failure,9.5,58139.99999999999
2659,L,300.0,309.4,1395,44.5,181,0,No Failure,9.399999999999977,62077.5
2660,H,299.8,309.3,1595,32.1,183,0,No Failure,9.5,51199.5
2661,L,299.8,309.3,1291,56.4,188,0,No Failure,9.5,72812.4
2662,M,299.9,309.4,1509,42.8,190,0,No Failure,9.5,64585.2
2663,M,299.9,309.4,1483,38.1,193,0,No Failure,9.5,56502.3
2664,L,299.9,309.3,1620,31.1,196,0,No Failure,9.400000000000034,50382.0
2665,M,299.9,309.4,1487,42.2,198,0,No Failure,9.5,62751.4
2666,L,299.8,309.4,2256,15.9,201,0,No Failure,9.599999999999966,35870.4
2667,H,299.7,309.2,1691,27.7,203,0,No Failure,9.5,46840.7
2668,M,299.8,309.3,1663,35.2,208,0,No Failure,9.5,58537.600000000006
2669,M,299.8,309.3,1640,31.1,211,0,No Failure,9.5,51004.0
2670,H,299.7,309.3,1494,37.8,214,0,No Failure,9.600000000000023,56473.2
2671,L,299.8,309.4,1467,46.2,219,0,No Failure,9.599999999999966,67775.40000000001
2672,M,299.7,309.3,1399,41.9,221,1,Tool Wear Failure,9.600000000000023,58618.1
2673,L,299.7,309.3,1445,42.6,0,0,No Failure,9.600000000000023,61557.0
2674,L,299.8,309.4,1480,40.9,2,0,No Failure,9.599999999999966,60532.0
2675,L,299.7,309.3,1546,37.2,4,0,No Failure,9.600000000000023,57511.200000000004
2676,L,299.7,309.3,1574,35.8,6,0,No Failure,9.600000000000023,56349.2
2677,L,299.7,309.3,1592,34.2,8,0,No Failure,9.600000000000023,54446.4
2678,L,299.8,309.5,1495,39.6,10,0,No Failure,9.699999999999989,59202.0
2679,L,299.8,309.6,1447,43.1,12,0,No Failure,9.800000000000011,62365.700000000004
2680,L,299.8,309.5,1476,44.4,14,0,No Failure,9.699999999999989,65534.4
2681,L,299.8,309.5,1641,27.1,16,0,No Failure,9.699999999999989,44471.100000000006
2682,L,299.8,309.5,1545,32.2,18,0,No Failure,9.699999999999989,49749.00000000001
2683,M,299.9,309.6,1364,44.4,20,0,No Failure,9.700000000000045,60561.6
2684,L,299.8,309.5,1590,28.5,23,0,No Failure,9.699999999999989,45315.0
2685,L,299.8,309.4,1460,37.4,25,0,No Failure,9.599999999999966,54604.0
2686,L,299.8,309.4,1609,32.5,27,0,No Failure,9.599999999999966,52292.5
2687,L,299.8,309.4,1633,27.5,29,0,No Failure,9.599999999999966,44907.5
2688,L,299.9,309.4,1348,52.8,31,0,No Failure,9.5,71174.4
2689,L,299.9,309.4,1322,53.9,33,0,No Failure,9.5,71255.8
2690,L,300.0,309.5,1641,30.1,35,0,No Failure,9.5,49394.100000000006
2691,L,300.0,309.5,1728,26.0,37,0,No Failure,9.5,44928.0
2692,L,300.0,309.6,1431,47.7,39,0,No Failure,9.600000000000023,68258.7
2693,L,300.1,309.7,1641,30.4,41,0,No Failure,9.599999999999966,49886.399999999994
2694,M,300.1,309.6,1622,36.1,43,0,No Failure,9.5,58554.200000000004
2695,M,300.1,309.6,1625,38.0,46,0,No Failure,9.5,61750.0
2696,L,300.0,309.5,1869,22.7,49,0,No Failure,9.5,42426.299999999996
2697,L,300.0,309.6,1452,46.0,51,0,No Failure,9.600000000000023,66792.0
2698,L,300.0,309.6,1618,28.7,53,0,No Failure,9.600000000000023,46436.6
2699,L,300.0,309.4,2010,20.0,55,0,No Failure,9.399999999999977,40200.0
2700,L,299.9,309.4,1363,60.9,57,0,No Failure,9.5,83006.7
2701,L,299.9,309.3,1473,40.4,59,0,No Failure,9.400000000000034,59509.2
2702,L,299.9,309.2,1333,50.8,61,0,No Failure,9.300000000000011,67716.4
2703,L,299.8,309.2,1760,25.9,63,0,No Failure,9.399999999999977,45584.0
2704,M,299.8,309.2,1372,58.2,65,0,No Failure,9.399999999999977,79850.40000000001
2705,M,299.7,309.2,1608,34.4,68,0,No Failure,9.5,55315.2
2706,L,299.7,309.2,1326,64.8,71,0,No Failure,9.5,85924.8
2707,M,299.6,309.1,1560,37.1,73,0,No Failure,9.5,57876.0
2708,M,299.6,309.0,1539,36.1,76,0,No Failure,9.399999999999977,55557.9
2709,L,299.6,309.1,2266,15.3,79,0,No Failure,9.5,34669.8
2710,L,299.6,309.1,1641,35.8,81,0,No Failure,9.5,58747.799999999996
2711,L,299.6,309.1,1574,39.2,83,0,No Failure,9.5,61700.8
2712,L,299.6,309.1,1407,50.6,85,0,No Failure,9.5,71194.2
2713,H,299.7,309.2,1302,55.5,87,0,No Failure,9.5,72261.0
2714,M,299.6,309.2,1651,30.8,92,0,No Failure,9.599999999999966,50850.8
2715,M,299.6,309.1,1366,55.2,95,0,No Failure,9.5,75403.2
2716,M,299.5,309.0,1701,28.6,98,0,No Failure,9.5,48648.600000000006
2717,L,299.5,309.0,1498,44.6,101,0,No Failure,9.5,66810.8
2718,M,299.5,309.1,1422,45.3,103,0,No Failure,9.600000000000023,64416.6
2719,L,299.5,309.1,1357,47.3,106,0,No Failure,9.600000000000023,64186.1
2720,L,299.5,309.2,1690,29.2,108,0,No Failure,9.699999999999989,49348.0
2721,L,299.6,309.2,1559,39.1,110,0,No Failure,9.599999999999966,60956.9
2722,M,299.6,309.3,1553,32.4,112,0,No Failure,9.699999999999989,50317.2
2723,L,299.6,309.3,1558,34.8,115,0,No Failure,9.699999999999989,54218.399999999994
2724,L,299.7,309.4,1362,51.9,117,0,No Failure,9.699999999999989,70687.8
2725,M,299.8,309.3,1470,42.7,119,0,No Failure,9.5,62769.00000000001
2726,L,299.8,309.4,1555,34.8,122,0,No Failure,9.599999999999966,54113.99999999999
2727,M,299.8,309.4,1423,42.9,124,0,No Failure,9.599999999999966,61046.7
2728,L,299.7,309.3,1434,38.5,127,0,No Failure,9.600000000000023,55209.0
2729,L,299.7,309.3,1779,25.5,129,0,No Failure,9.600000000000023,45364.5
2730,L,299.7,309.3,1417,54.6,131,0,No Failure,9.600000000000023,77368.2
2731,L,299.6,309.2,1425,45.9,133,0,No Failure,9.599999999999966,65407.5
2732,M,299.7,309.2,1597,32.9,135,0,No Failure,9.5,52541.299999999996
2733,L,299.7,309.2,1346,57.4,138,0,No Failure,9.5,77260.4
2734,L,299.7,309.2,1422,40.4,140,0,No Failure,9.5,57448.799999999996
2735,H,299.7,309.2,1572,32.8,142,0,No Failure,9.5,51561.6
2736,L,299.7,309.2,1412,45.4,147,0,No Failure,9.5,64104.799999999996
2737,M,299.7,309.1,1576,36.4,149,0,No Failure,9.400000000000034,57366.399999999994
2738,M,299.7,309.1,1508,41.2,152,0,No Failure,9.400000000000034,62129.600000000006
2739,M,299.8,309.1,1496,44.4,155,0,No Failure,9.300000000000011,66422.4
2740,L,299.8,309.2,1572,35.4,158,0,No Failure,9.399999999999977,55648.799999999996
2741,L,299.6,309.0,1525,42.8,160,0,No Failure,9.399999999999977,65269.99999999999
2742,L,299.6,309.0,1378,51.9,162,0,No Failure,9.399999999999977,71518.2
2743,L,299.6,309.1,1369,51.4,164,0,No Failure,9.5,70366.59999999999
2744,L,299.6,309.1,1476,45.3,166,0,No Failure,9.5,66862.8
2745,L,299.7,309.2,1620,30.0,168,0,No Failure,9.5,48600.0
2746,M,299.7,309.1,1603,38.5,170,0,No Failure,9.400000000000034,61715.5
2747,L,299.7,309.2,1411,46.1,173,0,No Failure,9.5,65047.1
2748,L,299.7,309.2,1616,31.6,175,0,No Failure,9.5,51065.600000000006
2749,L,299.7,309.2,1631,35.1,177,0,No Failure,9.5,57248.100000000006
2750,M,299.7,309.2,1685,28.9,179,1,No Failure,9.5,48696.5
2751,H,299.7,309.2,1456,40.6,182,0,No Failure,9.5,59113.6
2752,L,299.7,309.1,1417,50.1,187,0,No Failure,9.400000000000034,70991.7
2753,M,299.7,309.1,1851,24.7,189,0,No Failure,9.400000000000034,45719.7
2754,L,299.7,309.1,1715,27.8,192,0,No Failure,9.400000000000034,47677.0
2755,H,299.6,309.1,1630,32.3,194,0,No Failure,9.5,52648.99999999999
2756,L,299.7,309.2,1478,38.8,199,0,No Failure,9.5,57346.399999999994
2757,L,299.7,309.2,1781,29.6,201,0,No Failure,9.5,52717.600000000006
2758,L,299.8,309.2,1439,36.1,203,0,No Failure,9.399999999999977,51947.9
2759,M,299.7,309.2,1412,45.3,205,0,No Failure,9.5,63963.6
2760,L,299.7,309.1,1483,41.1,208,0,No Failure,9.400000000000034,60951.3
2761,L,299.8,309.2,1400,42.6,210,0,No Failure,9.399999999999977,59640.0
2762,L,299.8,309.3,1299,65.1,212,1,Overstrain Failure,9.5,84564.9
2763,L,299.8,309.2,1479,44.4,214,0,No Failure,9.399999999999977,65667.59999999999
2764,L,299.8,309.2,1491,47.5,216,0,No Failure,9.399999999999977,70822.5
2765,M,299.9,309.3,1389,52.8,0,0,No Failure,9.400000000000034,73339.2
2766,M,299.9,309.4,1399,54.8,3,0,No Failure,9.5,76665.2
2767,M,299.9,309.4,1889,26.0,6,0,No Failure,9.5,49114.0
2768,L,300.0,309.5,1925,21.9,9,0,No Failure,9.5,42157.5
2769,L,300.0,309.5,1675,30.2,11,0,No Failure,9.5,50585.0
2770,M,300.0,309.6,1477,38.1,13,0,No Failure,9.600000000000023,56273.700000000004
2771,L,300.0,309.6,1364,45.9,16,0,No Failure,9.600000000000023,62607.6
2772,L,299.9,309.5,1451,39.4,18,0,No Failure,9.600000000000023,57169.4
2773,L,299.9,309.4,1467,41.2,20,0,No Failure,9.5,60440.4
2774,L,299.9,309.4,1858,22.5,22,0,No Failure,9.5,41805.0
2775,L,300.1,309.4,1559,39.7,24,0,No Failure,9.299999999999955,61892.3
2776,L,300.1,309.4,1560,47.7,26,0,No Failure,9.299999999999955,74412.0
2777,L,300.1,309.4,1453,47.6,28,0,No Failure,9.299999999999955,69162.8
2778,L,300.1,309.4,1464,41.7,30,0,No Failure,9.299999999999955,61048.8
2779,L,300.0,309.4,1308,50.2,32,0,No Failure,9.399999999999977,65661.6
2780,L,300.1,309.5,1353,50.9,34,0,No Failure,9.399999999999977,68867.7
2781,M,300.2,309.6,1556,35.8,36,0,No Failure,9.400000000000034,55704.799999999996
2782,L,300.2,309.5,2183,17.8,39,0,No Failure,9.300000000000011,38857.4
2783,M,300.2,309.6,1491,41.8,41,0,No Failure,9.400000000000034,62323.799999999996
2784,M,300.2,309.6,1528,35.1,44,0,No Failure,9.400000000000034,53632.8
2785,L,300.2,309.6,1430,52.7,47,0,No Failure,9.400000000000034,75361.0
2786,L,300.2,309.5,1495,32.6,49,0,No Failure,9.300000000000011,48737.0
2787,M,300.2,309.5,1630,28.3,51,0,No Failure,9.300000000000011,46129.0
2788,M,300.3,309.6,1524,38.4,54,0,No Failure,9.300000000000011,58521.6
2789,L,300.3,309.6,1326,52.4,57,0,No Failure,9.300000000000011,69482.4
2790,H,300.3,309.5,1438,44.0,59,0,No Failure,9.199999999999989,63272.0
2791,L,300.4,309.6,1356,45.9,64,0,No Failure,9.200000000000045,62240.4
2792,H,300.4,309.6,1416,43.3,66,0,No Failure,9.200000000000045,61312.799999999996
2793,L,300.4,309.7,1584,32.6,71,0,No Failure,9.300000000000011,51638.4
2794,L,300.3,309.6,1597,31.8,73,0,No Failure,9.300000000000011,50784.6
2795,L,300.4,309.6,1553,43.9,75,0,No Failure,9.200000000000045,68176.7
2796,M,300.3,309.5,1405,49.4,77,0,No Failure,9.199999999999989,69407.0
2797,L,300.2,309.5,1539,35.3,80,0,No Failure,9.300000000000011,54326.7
2798,M,300.3,309.6,1398,53.7,82,0,No Failure,9.300000000000011,75072.6
2799,L,300.3,309.6,1568,39.6,85,0,No Failure,9.300000000000011,62092.8
2800,L,300.3,309.6,1404,44.6,87,0,No Failure,9.300000000000011,62618.4
2801,M,300.2,309.5,1500,45.7,89,0,No Failure,9.300000000000011,68550.0
2802,M,300.2,309.5,1642,28.8,92,0,No Failure,9.300000000000011,47289.6
2803,M,300.3,309.6,1509,46.6,95,0,No Failure,9.300000000000011,70319.40000000001
2804,L,300.2,309.5,1343,50.2,98,0,No Failure,9.300000000000011,67418.6
2805,L,300.1,309.5,1450,40.1,100,0,No Failure,9.399999999999977,58145.0
2806,L,300.0,309.4,1460,43.5,102,0,No Failure,9.399999999999977,63510.0
2807,L,300.0,309.3,1364,41.2,104,0,No Failure,9.300000000000011,56196.8
2808,M,299.9,309.3,1452,41.9,106,0,No Failure,9.400000000000034,60838.799999999996
2809,L,299.9,309.3,1471,41.8,109,0,No Failure,9.400000000000034,61487.799999999996
2810,L,299.9,309.2,1598,34.6,111,0,No Failure,9.300000000000011,55290.8
2811,L,299.8,309.1,1772,24.8,113,0,No Failure,9.300000000000011,43945.6
2812,L,299.9,309.2,1761,25.6,115,0,No Failure,9.300000000000011,45081.600000000006
2813,M,300.0,309.3,1413,40.7,117,0,No Failure,9.300000000000011,57509.100000000006
2814,L,300.0,309.3,1887,22.6,120,0,No Failure,9.300000000000011,42646.200000000004
2815,L,300.0,309.3,1395,56.5,122,0,No Failure,9.300000000000011,78817.5
2816,M,300.1,309.4,1569,31.6,124,0,No Failure,9.299999999999955,49580.4
2817,L,300.1,309.4,1434,47.3,127,0,No Failure,9.299999999999955,67828.2
2818,L,300.2,309.5,1417,41.1,129,0,No Failure,9.300000000000011,58238.700000000004
2819,L,300.2,309.5,1729,28.4,131,0,No Failure,9.300000000000011,49103.6
2820,L,300.2,309.5,1356,51.1,133,0,No Failure,9.300000000000011,69291.6
2821,L,300.2,309.5,1436,48.8,135,0,No Failure,9.300000000000011,70076.8
2822,M,300.3,309.6,1419,42.5,137,0,No Failure,9.300000000000011,60307.5
2823,L,300.3,309.6,1593,38.1,140,0,No Failure,9.300000000000011,60693.3
2824,M,300.3,309.5,1320,62.2,142,0,No Failure,9.199999999999989,82104.0
2825,M,300.3,309.5,1448,42.4,145,0,No Failure,9.199999999999989,61395.2
2826,L,300.3,309.4,1470,33.5,148,0,No Failure,9.099999999999966,49245.0
2827,M,300.3,309.4,1612,33.1,150,0,No Failure,9.099999999999966,53357.200000000004
2828,L,300.4,309.4,1412,51.6,153,0,No Failure,9.0,72859.2
2829,M,300.4,309.4,1875,23.9,155,0,No Failure,9.0,44812.5
2830,L,300.3,309.3,1612,36.0,158,0,No Failure,9.0,58032.0
2831,M,300.4,309.3,1411,41.6,160,0,No Failure,8.900000000000034,58697.6
2832,M,300.3,309.2,1490,47.9,163,0,No Failure,8.899999999999977,71371.0
2833,M,300.4,309.3,1467,40.3,166,0,No Failure,8.900000000000034,59120.1
2834,L,300.3,309.2,1807,26.4,169,0,No Failure,8.899999999999977,47704.799999999996
2835,L,300.3,309.1,1368,46.0,171,0,No Failure,8.800000000000011,62928.0
2836,L,300.3,309.2,1572,32.0,173,0,No Failure,8.899999999999977,50304.0
2837,M,300.3,309.1,1458,44.3,175,0,No Failure,8.800000000000011,64589.399999999994
2838,L,300.3,309.1,1699,30.3,178,0,No Failure,8.800000000000011,51479.700000000004
2839,L,300.3,309.3,1478,39.5,180,0,No Failure,9.0,58381.0
2840,M,300.4,309.4,1362,42.1,182,0,No Failure,9.0,57340.200000000004
2841,H,300.4,309.4,1487,38.9,185,0,No Failure,9.0,57844.299999999996
2842,L,300.3,309.4,1705,29.4,190,0,No Failure,9.099999999999966,50127.0
2843,L,300.3,309.3,1345,53.5,192,0,No Failure,9.0,71957.5
2844,L,300.3,309.2,1532,40.2,194,0,No Failure,8.899999999999977,61586.4
2845,L,300.3,309.2,1650,35.2,196,0,No Failure,8.899999999999977,58080.00000000001
2846,L,300.3,309.2,1398,54.4,198,0,No Failure,8.899999999999977,76051.2
2847,L,300.3,309.2,1412,44.8,200,0,No Failure,8.899999999999977,63257.6
2848,L,300.4,309.3,1525,39.6,202,0,No Failure,8.900000000000034,60390.0
2849,M,300.3,309.3,1391,57.9,204,0,No Failure,9.0,80538.9
2850,L,300.4,309.3,1766,28.2,207,0,No Failure,8.900000000000034,49801.2
2851,L,300.4,309.3,1671,35.0,209,0,No Failure,8.900000000000034,58485.0
2852,L,300.5,309.3,1373,48.8,211,0,No Failure,8.800000000000011,67002.4
2853,M,300.5,309.4,1347,50.1,213,0,No Failure,8.899999999999977,67484.7
2854,M,300.5,309.3,1539,39.1,216,0,No Failure,8.800000000000011,60174.9
2855,L,300.5,309.3,1470,40.8,219,0,No Failure,8.800000000000011,59975.99999999999
2856,L,300.5,309.3,1528,37.0,221,0,No Failure,8.800000000000011,56536.0
2857,H,300.5,309.3,1471,45.2,223,0,No Failure,8.800000000000011,66489.2
2858,M,300.4,309.2,1528,37.2,228,0,No Failure,8.800000000000011,56841.600000000006
2859,L,300.5,309.3,1417,51.5,231,1,Overstrain Failure,8.800000000000011,72975.5
2860,L,300.6,309.4,1549,43.4,233,0,No Failure,8.799999999999955,67226.59999999999
2861,H,300.6,309.4,1463,49.2,235,0,No Failure,8.799999999999955,71979.6
2862,L,300.7,309.5,1479,43.6,240,0,No Failure,8.800000000000011,64484.4
2863,L,300.6,309.5,1867,23.0,242,0,No Failure,8.899999999999977,42941.0
2864,L,300.6,309.4,1471,44.1,244,0,No Failure,8.799999999999955,64871.1
2865,H,300.6,309.4,1380,47.6,246,1,Tool Wear Failure,8.799999999999955,65688.0
2866,H,300.7,309.7,1623,32.7,0,0,No Failure,9.0,53072.100000000006
2867,L,300.8,309.7,1997,20.7,5,0,No Failure,8.899999999999977,41337.9
2868,H,300.7,309.6,1390,48.5,7,0,No Failure,8.900000000000034,67415.0
2869,L,300.8,309.7,1418,46.6,12,0,No Failure,8.899999999999977,66078.8
2870,L,300.8,309.7,1519,35.8,14,0,No Failure,8.899999999999977,54380.2
2871,M,300.8,309.7,1519,39.7,16,0,No Failure,8.899999999999977,60304.3
2872,M,300.7,309.6,1536,37.2,19,0,No Failure,8.900000000000034,57139.200000000004
2873,L,300.8,309.6,1680,28.7,22,0,No Failure,8.800000000000011,48216.0
2874,H,300.6,309.4,1555,37.9,24,0,No Failure,8.799999999999955,58934.5
2875,L,300.6,309.5,1471,49.6,29,0,No Failure,8.899999999999977,72961.6
2876,M,300.5,309.4,1877,23.8,31,0,No Failure,8.899999999999977,44672.6
2877,M,300.5,309.3,1578,30.5,34,0,No Failure,8.800000000000011,48129.0
2878,M,300.5,309.4,1655,32.1,37,0,No Failure,8.899999999999977,53125.5
2879,H,300.5,309.4,1502,34.3,40,0,No Failure,8.899999999999977,51518.6
2880,M,300.6,309.4,1367,63.2,45,1,Power Failure,8.799999999999955,86394.40000000001
2881,L,300.7,309.5,1541,37.2,48,0,No Failure,8.800000000000011,57325.200000000004
2882,M,300.6,309.6,1588,37.0,50,0,No Failure,9.0,58756.0
2883,L,300.6,309.6,1684,32.8,53,0,No Failure,9.0,55235.2
2884,L,300.6,309.5,1437,40.0,55,0,No Failure,8.899999999999977,57480.0
2885,L,300.6,309.6,1409,42.4,57,0,No Failure,9.0,59741.6
2886,M,300.5,309.5,1320,49.9,59,0,No Failure,9.0,65868.0
2887,H,300.5,309.5,1635,34.2,62,0,No Failure,9.0,55917.00000000001
2888,M,300.5,309.5,1691,27.6,67,0,No Failure,9.0,46671.600000000006
2889,M,300.6,309.6,1365,50.0,70,0,No Failure,9.0,68250.0
2890,M,300.7,309.7,1523,38.2,73,0,No Failure,9.0,58178.600000000006
2891,L,300.6,309.7,1593,32.4,76,0,No Failure,9.099999999999966,51613.2
2892,L,300.6,309.6,1682,30.7,78,0,No Failure,9.0,51637.4
2893,L,300.7,309.6,1329,54.3,80,0,No Failure,8.900000000000034,72164.7
2894,M,300.7,309.6,1568,35.2,82,0,No Failure,8.900000000000034,55193.600000000006
2895,L,300.7,309.6,1733,24.8,85,0,No Failure,8.900000000000034,42978.4
2896,M,300.7,309.6,1473,48.1,87,0,No Failure,8.900000000000034,70851.3
2897,M,300.7,309.5,1633,31.3,90,0,No Failure,8.800000000000011,51112.9
2898,M,300.6,309.5,1530,40.2,93,0,No Failure,8.899999999999977,61506.00000000001
2899,M,300.6,309.5,1550,40.2,96,0,No Failure,8.899999999999977,62310.00000000001
2900,L,300.6,309.4,1410,40.6,99,0,No Failure,8.799999999999955,57246.0
